title,doi,url,publicationDate,staffNames,staffIds,orcidIds
"Emergency nurse practitioners: do they provide an effective service in managing minor injuries, compared to emergency medicine registrars?",,http://europepmc.org/abstract/med/22016166,2011-10,Jennifer Miles-Chan,1,0000-0003-0313-7048
Survival from in-hospital cardiac arrest in Auckland City Hospital.,10.1111/j.1742-6723.2011.01450.x,http://europepmc.org/abstract/med/21995471,2011-06-27,Jennifer Miles-Chan,1,0000-0003-0313-7048
Dietary modulation of body composition and insulin sensitivity during catch-up growth in rats: effects of oils rich in n-6 or n-3 PUFA.,10.1017/s0007114510005659,http://europepmc.org/abstract/med/21281526,2011-01-31,Jennifer Miles-Chan,1,0000-0003-0313-7048
Prenatally induced changes in muscle structure and metabolic function facilitate exercise-induced obesity prevention.,10.1210/en.2009-0125,http://europepmc.org/abstract/med/19477938,2009-05-28,Jennifer Miles-Chan,1,0000-0003-0313-7048
Prenatally undernourished rats show increased preference for wheel running v. lever pressing for food in a choice task.,10.1017/s0007114508043353,http://europepmc.org/abstract/med/18761782,2008-09-02,Jennifer Miles-Chan,1,0000-0003-0313-7048
Moderate daily exercise activates metabolic flexibility to prevent prenatally induced obesity.,10.1210/en.2008-1035,http://europepmc.org/abstract/med/18772230,2008-09-04,Jennifer Miles-Chan,1,0000-0003-0313-7048
Overcoming barriers to in-hospital cardiac arrest documentation.,10.1016/j.resuscitation.2007.08.021,http://europepmc.org/abstract/med/18023958,2008-03,Jennifer Miles-Chan,1,0000-0003-0313-7048
Global undernutrition during gestation influences learning during adult life.,10.3758/bf03193042,http://europepmc.org/abstract/med/17688181,2007-05,Jennifer Miles-Chan,1,0000-0003-0313-7048
"Prenatal and postnatal pathways to obesity: different underlying mechanisms, different metabolic outcomes.",10.1210/en.2006-1641,http://europepmc.org/abstract/med/17272392,2007-05-01,Jennifer Miles-Chan,1,0000-0003-0313-7048
"Benzylpiperizine-based party pills' impact on the Auckland City Hospital Emergency Department Overdose Database (2002-2004) compared with ecstasy (MDMA or methylene dioxymethamphetamine), gamma hydroxybutyrate (GHB), amphetamines, cocaine, and alcohol.",,http://europepmc.org/abstract/med/17308553,2007,Jennifer Miles-Chan,1,0000-0003-0313-7048
